No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,Karbo_Clean,Keyword_Semantik,enhanced_corpus_mccbf,corpus_rf
200,japanese sapi gyudon dengan lemonilo premium,sapi,423,kentang nasi merah nasi putih,menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"japanese sapi gyudon dengan lemonilo premium menu japanese beef gyudon with lemonilo premium yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi",japanese sapi gyudon dengan lemonilo premium menu japanese beef gyudon with lemonilo premium yang sehat dan lezat
201,ikan stik saus wijen premium,ikan,369,jagung nasi merah nasi putih,menu fish stick saus wijen premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"ikan stik saus wijen premium menu fish stick saus wijen premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",ikan stik saus wijen premium menu fish stick saus wijen premium yang sehat dan lezat
202,sapi burger diet,sapi,410,kentang ubi nasi merah nasi putih,menu beef burger diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"sapi burger diet menu beef burger diet yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein sapi",sapi burger diet menu beef burger diet yang sehat dan lezat
203,ayam bola lada hitam paket,ayam,425,jagung nasi merah nasi putih,menu chicken ball blackpepper box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam blackpepper,"ayam bola lada hitam paket menu chicken ball blackpepper box yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam blackpepper",ayam bola lada hitam paket menu chicken ball blackpepper box yang sehat dan lezat
204,japanese sapi gyudon dengan nasi merah spesial,sapi,428,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"japanese sapi gyudon dengan nasi merah spesial menu japanese beef gyudon with brown rice spesial yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",japanese sapi gyudon dengan nasi merah spesial menu japanese beef gyudon with brown rice spesial yang sehat dan lezat
205,ayam teriyaki panggang sehat,ayam,437,kentang ubi nasi merah nasi putih,menu chicken teriyaki grill healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang teriyaki,"ayam teriyaki panggang sehat menu chicken teriyaki grill healthy yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam panggang teriyaki",ayam teriyaki panggang sehat menu chicken teriyaki grill healthy yang sehat dan lezat
206,rawon surabaya lengkap,sapi,447,kentang nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat kentang, nasi merah, nasi putih",rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat
207,dori oat saus asam manis diet,ikan,423,jagung nasi merah nasi putih,menu dori oat saus asam manis diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan manis,"dori oat saus asam manis diet menu dori oat saus asam manis diet yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan manis",dori oat saus asam manis diet menu dori oat saus asam manis diet yang sehat dan lezat
208,ayam katsu premium,ayam,447,kentang nasi merah nasi putih,menu chicken katsu premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam katsu premium menu chicken katsu premium yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam katsu premium menu chicken katsu premium yang sehat dan lezat
209,soto bandung sehat,ayam,355,jagung nasi merah nasi putih,menu soto bandung healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",,"soto bandung sehat menu soto bandung healthy yang sehat dan lezat jagung, nasi merah, nasi putih",soto bandung sehat menu soto bandung healthy yang sehat dan lezat
210,bola ayam saus asam pedas paket,ayam,434,jagung nasi merah nasi putih,menu bola ayam saus asam pedas box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam pedas,"bola ayam saus asam pedas paket menu bola ayam saus asam pedas box yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam pedas",bola ayam saus asam pedas paket menu bola ayam saus asam pedas box yang sehat dan lezat
211,dori katsu balado premium,ikan,447,kentang ubi nasi merah nasi putih,menu dori katsu balado premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"dori katsu balado premium menu dori katsu balado premium yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ikan",dori katsu balado premium menu dori katsu balado premium yang sehat dan lezat
212,sapi cabe garam lengkap,sapi,447,kentang nasi merah nasi putih,menu sapi cabe garam lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi",sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat
213,soto ayam spesial diet,ayam,430,kentang nasi merah nasi putih,menu soto ayam spesial diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"soto ayam spesial diet menu soto ayam spesial diet yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",soto ayam spesial diet menu soto ayam spesial diet yang sehat dan lezat
214,ayam rolade sehat,ayam,449,jagung nasi merah nasi putih,menu chicken rolade healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam rolade sehat menu chicken rolade healthy yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam rolade sehat menu chicken rolade healthy yang sehat dan lezat
215,ayam karage saus korea lengkap,ayam,379,kentang nasi merah nasi putih,menu chicken karage saus korea lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam karage saus korea lengkap menu chicken karage saus korea lengkap yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam karage saus korea lengkap menu chicken karage saus korea lengkap yang sehat dan lezat
216,dori sambal matah sehat,ikan,392,kentang ubi nasi merah nasi putih,menu dori sambal matah healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ikan",dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat
217,ayam dengan nasi merah lengkap,ayam,437,jagung nasi merah nasi putih,menu ayam with brown rice lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam dengan nasi merah lengkap menu ayam with brown rice lengkap yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam dengan nasi merah lengkap menu ayam with brown rice lengkap yang sehat dan lezat
218,ayam woku mangkuk,ayam,395,kentang ubi nasi merah nasi putih,menu chicken woku bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam woku mangkuk menu chicken woku bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam woku mangkuk menu chicken woku bowl yang sehat dan lezat
219,ayam saus mentega paket,ayam,351,kentang nasi merah nasi putih,menu ayam saus mentega box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam saus mentega paket menu ayam saus mentega box yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam saus mentega paket menu ayam saus mentega box yang sehat dan lezat
220,bola ayam krispi sehat,ayam,418,kentang ubi nasi merah nasi putih,menu bola ayam crispy healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"bola ayam krispi sehat menu bola ayam crispy healthy yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",bola ayam krispi sehat menu bola ayam crispy healthy yang sehat dan lezat
221,dori cabe garam mangkuk,ikan,436,jagung nasi merah nasi putih,menu dori cabe garam bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori cabe garam mangkuk menu dori cabe garam bowl yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori cabe garam mangkuk menu dori cabe garam bowl yang sehat dan lezat
222,ayam maranggi spesial,ayam,427,kentang nasi merah nasi putih,menu ayam maranggi spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam maranggi spesial menu ayam maranggi spesial yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam maranggi spesial menu ayam maranggi spesial yang sehat dan lezat
223,sehat goreng ayam diet,ayam,355,jagung nasi merah nasi putih,menu healthy fried chicken diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam goreng,"sehat goreng ayam diet menu healthy fried chicken diet yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam goreng",sehat goreng ayam diet menu healthy fried chicken diet yang sehat dan lezat
224,sapi cabe garam mangkuk,sapi,430,jagung nasi merah nasi putih,menu sapi cabe garam bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"sapi cabe garam mangkuk menu sapi cabe garam bowl yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",sapi cabe garam mangkuk menu sapi cabe garam bowl yang sehat dan lezat
225,sapi cabe garam lengkap,sapi,434,jagung nasi merah nasi putih,menu sapi cabe garam lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat
226,dori katsu lengkap,ikan,373,kentang nasi merah nasi putih,menu dori katsu lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan,"dori katsu lengkap menu dori katsu lengkap yang sehat dan lezat kentang, nasi merah, nasi putih protein ikan",dori katsu lengkap menu dori katsu lengkap yang sehat dan lezat
227,ayam saus wijen premium,ayam,360,jagung nasi merah nasi putih,menu ayam saus wijen premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam saus wijen premium menu ayam saus wijen premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam saus wijen premium menu ayam saus wijen premium yang sehat dan lezat
228,ayam cabe ijo lengkap,ayam,369,jagung nasi merah nasi putih,menu ayam cabe ijo lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam cabe ijo lengkap menu ayam cabe ijo lengkap yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam cabe ijo lengkap menu ayam cabe ijo lengkap yang sehat dan lezat
229,sapi tofu teriyaki mangkuk,sapi,436,jagung nasi merah nasi putih,menu beef tofu teriyaki bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi teriyaki,"sapi tofu teriyaki mangkuk menu beef tofu teriyaki bowl yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi teriyaki",sapi tofu teriyaki mangkuk menu beef tofu teriyaki bowl yang sehat dan lezat
230,dori sambal ijo paket,ikan,368,jagung nasi merah nasi putih,menu dori sambal ijo box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori sambal ijo paket menu dori sambal ijo box yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori sambal ijo paket menu dori sambal ijo box yang sehat dan lezat
231,ayam panggang sambal matah sehat,ayam,379,jagung nasi merah nasi putih,menu chicken grill sambal matah healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam panggang,"ayam panggang sambal matah sehat menu chicken grill sambal matah healthy yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam panggang",ayam panggang sambal matah sehat menu chicken grill sambal matah healthy yang sehat dan lezat
232,dengan nasi merah sehat,ayam,369,jagung nasi merah nasi putih,menu with brown rice healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",,"dengan nasi merah sehat menu with brown rice healthy yang sehat dan lezat jagung, nasi merah, nasi putih",dengan nasi merah sehat menu with brown rice healthy yang sehat dan lezat
233,tumis ayam paprika paket,ayam,434,kentang nasi merah nasi putih,menu tumis ayam paprika box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"tumis ayam paprika paket menu tumis ayam paprika box yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",tumis ayam paprika paket menu tumis ayam paprika box yang sehat dan lezat
234,panggang ayam madu premium,ayam,418,kentang nasi merah nasi putih,menu baked chicken honey premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam panggang,"panggang ayam madu premium menu baked chicken honey premium yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam panggang",panggang ayam madu premium menu baked chicken honey premium yang sehat dan lezat
235,sei sapi dengan nasi merah spesial,sapi,395,kentang nasi merah nasi putih,menu sei sapi with brown rice spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sei sapi dengan nasi merah spesial menu sei sapi with brown rice spesial yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi",sei sapi dengan nasi merah spesial menu sei sapi with brown rice spesial yang sehat dan lezat
236,ayam bola krispi paket,ayam,413,jagung nasi merah nasi putih,menu chicken ball crispy box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam bola krispi paket menu chicken ball crispy box yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam bola krispi paket menu chicken ball crispy box yang sehat dan lezat
237,sapi yakiniku paket,sapi,355,kentang ubi nasi merah nasi putih,menu beef yakiniku box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"sapi yakiniku paket menu beef yakiniku box yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein sapi",sapi yakiniku paket menu beef yakiniku box yang sehat dan lezat
238,ayam madu sehat,ayam,364,kentang nasi merah nasi putih,menu chicken honey healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam madu sehat menu chicken honey healthy yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam madu sehat menu chicken honey healthy yang sehat dan lezat
239,sempol ayam panggang mangkuk,ayam,360,jagung nasi merah nasi putih,menu sempol ayam grill bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam panggang,"sempol ayam panggang mangkuk menu sempol ayam grill bowl yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam panggang",sempol ayam panggang mangkuk menu sempol ayam grill bowl yang sehat dan lezat
240,sapi bulgogi sehat,sapi,430,kentang ubi nasi merah nasi putih,menu beef bulgogi healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"sapi bulgogi sehat menu beef bulgogi healthy yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein sapi",sapi bulgogi sehat menu beef bulgogi healthy yang sehat dan lezat
