No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
167,Ikan Stik Saus Korea Spesial,ikan,392,kentang ubi nasi merah nasi putih,menu fish stick saus korea spesial yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",fish stick saus korea spesial ikan kentang ubi nasi merah nasi putih menu fish stick saus korea spesial yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ikan stik saus korea spesial,menu fish stick saus korea spesial yang sehat dan lezat,protein_ikan,ikan stik saus korea spesial ikan kentang putih nasi ubi merah menu fish stick saus korea spesial yang sehat dan lezat protein_ikan,ikan stik saus korea spesial menu fish stick saus korea spesial yang sehat dan lezat nasi merah ubi putih kentang protein_ikan,ikan stik saus korea spesial menu fish stick saus korea spesial yang sehat dan lezat
168,Ayam Bakar Bacem Lengkap,ayam,398,kentang nasi merah nasi putih,menu ayam bakar bacem lengkap yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",ayam bakar bacem lengkap ayam kentang nasi merah nasi putih menu ayam bakar bacem lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam bakar bacem lengkap,menu ayam bakar bacem lengkap yang sehat dan lezat,protein_ayam panggang,ayam bakar bacem lengkap ayam merah putih kentang nasi menu ayam bakar bacem lengkap yang sehat dan lezat protein_ayam panggang,ayam bakar bacem lengkap menu ayam bakar bacem lengkap yang sehat dan lezat nasi putih kentang merah protein_ayam panggang,ayam bakar bacem lengkap menu ayam bakar bacem lengkap yang sehat dan lezat
169,Ayam Teriyaki Panggang Lengkap,ayam,379,jagung nasi merah kentang,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",chicken teriyaki grill lengkap ayam jagung nasi merah kentang menu chicken teriyaki grill lengkap yang sehat dan lezat,"jagung, nasi merah, kentang",ayam teriyaki panggang lengkap,menu chicken teriyaki grill lengkap yang sehat dan lezat,protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap ayam jagung kentang nasi merah menu chicken teriyaki grill lengkap yang sehat dan lezat protein_ayam teriyaki,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat nasi kentang jagung merah protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat
170,Ayam Teriyaki Panggang Lengkap,ayam,379,jagung nasi merah kentang,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",chicken teriyaki grill lengkap ayam jagung nasi merah kentang menu chicken teriyaki grill lengkap yang sehat dan lezat,"jagung, nasi merah, kentang",ayam teriyaki panggang lengkap,menu chicken teriyaki grill lengkap yang sehat dan lezat,protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap ayam jagung kentang nasi merah menu chicken teriyaki grill lengkap yang sehat dan lezat protein_ayam teriyaki,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat nasi kentang jagung merah protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat
171,Ayam Sambel Geprek Mangkuk,ayam,371,kentang ubi nasi merah nasi putih,menu ayam sambel geprek bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam sambel geprek bowl ayam kentang ubi nasi merah nasi putih menu ayam sambel geprek bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam sambel geprek mangkuk,menu ayam sambel geprek bowl yang sehat dan lezat,protein_ayam,ayam sambel geprek mangkuk ayam kentang putih nasi ubi merah menu ayam sambel geprek bowl yang sehat dan lezat protein_ayam,ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat
172,Dori Stik Premium,ikan,369,jagung nasi merah nasi putih,menu dori stick premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori stick premium ikan jagung nasi merah nasi putih menu dori stick premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori stik premium,menu dori stick premium yang sehat dan lezat,protein_ikan,dori stik premium ikan jagung putih nasi merah menu dori stick premium yang sehat dan lezat protein_ikan,dori stik premium menu dori stick premium yang sehat dan lezat nasi putih jagung merah protein_ikan,dori stik premium menu dori stick premium yang sehat dan lezat
173,Soto Betawi Tanpa Santan Premium,ayam,359,kentang ubi nasi merah nasi putih,menu soto betawi tanpa santan premium yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",soto betawi tanpa santan premium sapi kentang ubi nasi merah nasi putih menu soto betawi tanpa santan premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",soto betawi tanpa santan premium,menu soto betawi tanpa santan premium yang sehat dan lezat,,soto betawi tanpa santan premium ayam kentang putih nasi ubi merah menu soto betawi tanpa santan premium yang sehat dan lezat ,soto betawi tanpa santan premium menu soto betawi tanpa santan premium yang sehat dan lezat nasi merah ubi putih kentang ,soto betawi tanpa santan premium menu soto betawi tanpa santan premium yang sehat dan lezat
174,Soto Betawi Tanpa Santan Premium,ayam,359,kentang ubi nasi merah nasi putih,menu soto betawi tanpa santan premium yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",soto betawi tanpa santan premium sapi kentang ubi nasi merah nasi putih menu soto betawi tanpa santan premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",soto betawi tanpa santan premium,menu soto betawi tanpa santan premium yang sehat dan lezat,,soto betawi tanpa santan premium ayam kentang putih nasi ubi merah menu soto betawi tanpa santan premium yang sehat dan lezat ,soto betawi tanpa santan premium menu soto betawi tanpa santan premium yang sehat dan lezat nasi merah ubi putih kentang ,soto betawi tanpa santan premium menu soto betawi tanpa santan premium yang sehat dan lezat
175,Ayam Lada Hitam Telur Tortila Lengkap,ayam,390,kentang ubi nasi merah nasi putih,menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken blackpepper egg tortila lengkap ayam kentang ubi nasi merah nasi putih menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam lada hitam telur tortila lengkap,menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,protein_ayam blackpepper,ayam lada hitam telur tortila lengkap ayam kentang putih nasi ubi merah menu chicken blackpepper egg tortila lengkap yang sehat dan lezat protein_ayam ladahitam,ayam lada hitam telur tortila lengkap menu chicken blackpepper egg tortila lengkap yang sehat dan lezat nasi merah ubi putih kentang protein_ayam blackpepper,ayam lada hitam telur tortila lengkap menu chicken blackpepper egg tortila lengkap yang sehat dan lezat
176,Dori Sambal Matah Sehat,ikan,355,jagung nasi merah nasi putih,menu dori sambal matah healthy yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori sambal matah healthy ikan jagung nasi merah nasi putih menu dori sambal matah healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori sambal matah sehat,menu dori sambal matah healthy yang sehat dan lezat,protein_ikan,dori sambal matah sehat ikan jagung putih nasi merah menu dori sambal matah healthy yang sehat dan lezat protein_ikan,dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat nasi putih jagung merah protein_ikan,dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat
177,Ayam Serundeng Sambal Korek Lengkap,ayam,418,kentang ubi nasi merah nasi putih,menu ayam serundeng sambal korek lengkap yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam serundeng sambal korek lengkap ayam kentang ubi nasi merah nasi putih menu ayam serundeng sambal korek lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam serundeng sambal korek lengkap,menu ayam serundeng sambal korek lengkap yang sehat dan lezat,protein_ayam,ayam serundeng sambal korek lengkap ayam kentang putih nasi ubi merah menu ayam serundeng sambal korek lengkap yang sehat dan lezat protein_ayam,ayam serundeng sambal korek lengkap menu ayam serundeng sambal korek lengkap yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam serundeng sambal korek lengkap menu ayam serundeng sambal korek lengkap yang sehat dan lezat
178,Dori Katsu Balado Spesial,ikan,423,jagung nasi merah nasi putih,menu dori katsu balado spesial yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori katsu balado spesial ikan jagung nasi merah nasi putih menu dori katsu balado spesial yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori katsu balado spesial,menu dori katsu balado spesial yang sehat dan lezat,protein_ikan,dori katsu balado spesial ikan jagung putih nasi merah menu dori katsu balado spesial yang sehat dan lezat protein_ikan,dori katsu balado spesial menu dori katsu balado spesial yang sehat dan lezat nasi putih jagung merah protein_ikan,dori katsu balado spesial menu dori katsu balado spesial yang sehat dan lezat
179,Rawon Surabaya Lengkap,sapi,423,kentang nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",rawon surabaya lengkap sapi kentang nasi merah nasi putih menu rawon surabaya lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih",rawon surabaya lengkap,menu rawon surabaya lengkap yang sehat dan lezat,,rawon surabaya lengkap sapi merah putih kentang nasi menu rawon surabaya lengkap yang sehat dan lezat ,rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat nasi putih kentang merah ,rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat
180,Ayam Lada Hitam Sehat,ayam,391,jagung nasi merah nasi putih,menu chicken blackpepper healthy yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken blackpepper healthy ayam jagung nasi merah nasi putih menu chicken blackpepper healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam lada hitam sehat,menu chicken blackpepper healthy yang sehat dan lezat,protein_ayam blackpepper,ayam lada hitam sehat ayam jagung putih nasi merah menu chicken blackpepper healthy yang sehat dan lezat protein_ayam ladahitam,ayam lada hitam sehat menu chicken blackpepper healthy yang sehat dan lezat nasi putih jagung merah protein_ayam blackpepper,ayam lada hitam sehat menu chicken blackpepper healthy yang sehat dan lezat
181,Ayam Bola Krispi Diet,ayam,449,jagung nasi merah kentang,menu chicken ball crispy diet yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",chicken ball crispy diet ayam jagung nasi merah kentang menu chicken ball crispy diet yang sehat dan lezat,"jagung, nasi merah, kentang",ayam bola krispi diet,menu chicken ball crispy diet yang sehat dan lezat,protein_ayam,ayam bola krispi diet ayam jagung kentang nasi merah menu chicken ball crispy diet yang sehat dan lezat protein_ayam,ayam bola krispi diet menu chicken ball crispy diet yang sehat dan lezat nasi kentang jagung merah protein_ayam,ayam bola krispi diet menu chicken ball crispy diet yang sehat dan lezat
182,Sei Ayam Dengan Potatoes Premium,ayam,379,kentang nasi merah nasi putih,menu sei ayam with potatoes premium yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",sei ayam with potatoes premium ayam kentang nasi merah nasi putih menu sei ayam with potatoes premium yang sehat dan lezat,"kentang, nasi merah, nasi putih",sei ayam dengan potatoes premium,menu sei ayam with potatoes premium yang sehat dan lezat,protein_ayam,sei ayam dengan potatoes premium ayam merah putih kentang nasi menu sei ayam with potatoes premium yang sehat dan lezat protein_ayam,sei ayam dengan potatoes premium menu sei ayam with potatoes premium yang sehat dan lezat nasi putih kentang merah protein_ayam,sei ayam dengan potatoes premium menu sei ayam with potatoes premium yang sehat dan lezat
183,Pangsit Ayam Yamin Yahun Sehat,ayam,430,kentang nasi merah nasi putih,menu pangsit ayam yamin yahun healthy yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",pangsit ayam yamin yahun healthy ayam kentang nasi merah nasi putih menu pangsit ayam yamin yahun healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih",pangsit ayam yamin yahun sehat,menu pangsit ayam yamin yahun healthy yang sehat dan lezat,protein_ayam,pangsit ayam yamin yahun sehat ayam merah putih kentang nasi menu pangsit ayam yamin yahun healthy yang sehat dan lezat protein_ayam,pangsit ayam yamin yahun sehat menu pangsit ayam yamin yahun healthy yang sehat dan lezat nasi putih kentang merah protein_ayam,pangsit ayam yamin yahun sehat menu pangsit ayam yamin yahun healthy yang sehat dan lezat
184,Sei Sapi Dengan Lemonilo Premium,sapi,395,kentang ubi nasi merah nasi putih,menu sei sapi with lemonilo premium yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",sei sapi with lemonilo premium sapi kentang ubi nasi merah nasi putih menu sei sapi with lemonilo premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",sei sapi dengan lemonilo premium,menu sei sapi with lemonilo premium yang sehat dan lezat,protein_sapi,sei sapi dengan lemonilo premium sapi kentang putih nasi ubi merah menu sei sapi with lemonilo premium yang sehat dan lezat protein_sapi,sei sapi dengan lemonilo premium menu sei sapi with lemonilo premium yang sehat dan lezat nasi merah ubi putih kentang protein_sapi,sei sapi dengan lemonilo premium menu sei sapi with lemonilo premium yang sehat dan lezat
185,Panggang Ayam Sei Sapi Ayam Penyet Diet,ayam,359,kentang ubi nasi merah nasi putih,menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",grilled chicken sei sapi ayam penyet diet ayam kentang ubi nasi merah nasi putih menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",panggang ayam sei sapi ayam penyet diet,menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat,protein_ayam protein_sapi panggang,panggang ayam sei sapi ayam penyet diet ayam kentang putih nasi ubi merah menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat protein_ayam protein_sapi,panggang ayam sei sapi ayam penyet diet menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat nasi merah ubi putih kentang protein_ayam protein_sapi panggang,panggang ayam sei sapi ayam penyet diet menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat
186,Ayam Barbeque Panggang Diet,ayam,407,jagung nasi merah nasi putih,menu chicken bbq grill diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken bbq grill diet ayam jagung nasi merah nasi putih menu chicken bbq grill diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam barbeque panggang diet,menu chicken bbq grill diet yang sehat dan lezat,protein_ayam panggang,ayam barbeque panggang diet ayam jagung putih nasi merah menu chicken bbq grill diet yang sehat dan lezat protein_ayam,ayam barbeque panggang diet menu chicken bbq grill diet yang sehat dan lezat nasi putih jagung merah protein_ayam panggang,ayam barbeque panggang diet menu chicken bbq grill diet yang sehat dan lezat
187,Sei Sapi Diet,sapi,355,jagung nasi merah nasi putih,menu sei sapi diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",sei sapi diet sapi jagung nasi merah nasi putih menu sei sapi diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",sei sapi diet,menu sei sapi diet yang sehat dan lezat,protein_sapi,sei sapi diet sapi jagung putih nasi merah menu sei sapi diet yang sehat dan lezat protein_sapi,sei sapi diet menu sei sapi diet yang sehat dan lezat nasi putih jagung merah protein_sapi,sei sapi diet menu sei sapi diet yang sehat dan lezat
188,Sei Ayam Dengan Nasi Merah Sei Paket,ayam,436,jagung nasi merah nasi putih,menu sei ayam with brown rice sei box yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",sei ayam with brown rice sei box sapi jagung nasi merah nasi putih menu sei ayam with brown rice sei box yang sehat dan lezat,"jagung, nasi merah, nasi putih",sei ayam dengan nasi merah sei paket,menu sei ayam with brown rice sei box yang sehat dan lezat,protein_ayam,sei ayam dengan nasi merah sei paket ayam jagung putih nasi merah menu sei ayam with brown rice sei box yang sehat dan lezat protein_ayam,sei ayam dengan nasi merah sei paket menu sei ayam with brown rice sei box yang sehat dan lezat nasi putih jagung merah protein_ayam,sei ayam dengan nasi merah sei paket menu sei ayam with brown rice sei box yang sehat dan lezat
